Unnamed: 0,prompt,summary,fr_prompt,fr_summary
767,"Zack tutors students in groups of 14. Meanwhile, Karen tutors students in groups of 10. While discussing their work, the tutors realize that they both work with the same total number of students. What is the smallest number of students each can have?","var1 = find(""Zack's student group"") # 14, var2 = find(""Karen's student group"") # 10, var3 = find_lcm(var1, var2) # LCM(14,10) = 70, return(var3) # 70","Zack enseigne aux étudiants en groupes de 14. Pendant ce temps, Karen enseigne aux étudiants en groupes de 10. En discutant de leur travail, les tuteurs se rendent compte qu'ils travaillent tous les deux avec le même nombre total d'étudiants. Quel est le plus petit nombre d'élèves que chacun peut avoir ?","var1 = find(""Groupe d'étudiants de Zack"") # 14, var2 = find(""Groupe d'étudiants de Karen"") # 10, var3 = find_lcm(var1, var2) # LCM(14,10) = 70, return(var3) # 70"
1750,"Their next opponent was the Green Team. If their final score is 68 points and they led by 29 points, what is Green Team's final score?","var1 = find(points scored by Blue Team) # 68, var2 = find(difference in points) # 29, var1 = subtract(var1, var2), CALL # 68 - 29 = 39, return(var1) # 39","Leur prochain adversaire était l'équipe verte. Si leur score final est de 68 points et qu'ils menaient de 29 points, quel est le score final de l'équipe verte ?","var1 = find(points marqués par Blue Team) # 68, var2 = find(différence de points) # 29, var1 = soustract(var1, var2), CALL # 68 - 29 = 39, return(var1) # 39"
961,"This afternoon, Alec noticed that the number of the page assigned for homework is divisible by both 4 and 13. What is the smallest possible page number that could have been assigned?","var1 = find(""divisor by 4"") # 4, var2 = find(""divisor by 13"") # 13, var3 = find_lcm(var1, var2) # LCM(4,13) = 52, return(var3) # 52","Cet après-midi, Alec a remarqué que le numéro de la page attribuée aux devoirs est divisible à la fois par 4 et 13. Quel est le plus petit numéro de page possible qui aurait pu être attribué ?","var1 = find(""diviseur par 4"") # 4, var2 = find(""diviseur par 13"") # 13, var3 = find_lcm(var1, var2) # LCM(4,13) = 52, return(var3) # 52"
1608,"Tyler, an animal rights advocate, decided to build his own animal sanctuary to protect different animals from poachers. The sanctuary was divided into different regions. The first region to be built was a bird sanctuary. Initially, he had 29 endangered bird species on that region. If each species has 7 pairs of birds, how many pairs does he have in total?","var1 = find(species of birds) # 29, var2 = find(pairs per species) # 7, var1 = multiply(var1, var2), CALL # 29 * 7 = 203, return(var1) # 203","Tyler, un défenseur des droits des animaux, a décidé de construire son propre sanctuaire animalier pour protéger différents animaux des braconniers. Le sanctuaire était divisé en différentes régions. La première région à être construite était une réserve ornithologique. Initialement, il avait 29 espèces d'oiseaux en voie de disparition dans cette région. Si chaque espèce a 7 couples d'oiseaux, combien de couples a-t-il au total ?","var1 = trouver(espèces d'oiseaux) # 29, var2 = trouver(paires par espèce) # 7, var1 = multiplier(var1, var2), APPEL # 29 * 7 = 203, retour(var1) # 203"
1518,"There are 315 cups of puddings to be distributed to 218 students. If each of them wants an equal number of pudding cups, at least how many more pudding cups are needed?","var1 = find(puddings) # 315, var2 = find(students) # 218, var3 = divide(var1, var2), CALL # 315 / 218 = 1.44, var3 = round_down(var3), CALL # round down(1.44) = 1, var4 = multiply(var2, var3), CALL # 218 * 1 = 218, var5 = subtract(var1, var4), CALL # 315 - 218 = 97, var6 = subtract(var2, var5), CALL # 218 - 97 = 121, return(var6) # 121","Il y a 315 tasses de puddings à distribuer à 218 élèves. Si chacun d'eux veut un nombre égal de coupes de pudding, au moins combien de coupes de pudding supplémentaires sont nécessaires ?","var1 = find(puddings) # 315, var2 = find(students) # 218, var3 = diviser(var1, var2), CALL # 315 / 218 = 1.44, var3 = round_down(var3), CALL # round down(1.44) = 1, var4 = multiplier (var2, var3), CALL # 218 * 1 = 218, var5 = soustraire (var1, var4), CALL # 315 - 218 = 97, var6 = soustraire (var2, var5), CALL # 218 - 97 = 121, retour(var6) # 121"
819,"At the carnival, the ratio of people who won the ring toss game to lost it was 4:1. If 28 people won, how many people would have lost?","var1 = find(won) # 28, var2 = divide(var1, 4), var3 = multiply(var2, 1 + 4), CALL # (28 / 4) * (1 + 4) = 35, var4 = subtract(var3, var1), CALL # 35 - 28 = 7, return(var4) # 7","Au carnaval, le ratio de personnes qui ont gagné le jeu du lancer d'anneaux et qui l'ont perdu était de 4:1. Si 28 personnes avaient gagné, combien de personnes auraient perdu ?","var1 = trouver(gagné) # 28, var2 = diviser(var1, 4), var3 = multiplier(var2, 1 + 4), CALL # (28 / 4) * (1 + 4) = 35, var4 = soustraire(var3 , var1), APPEL # 35 - 28 = 7, retour(var4) # 7"
1311,Jerry had 8 action figures on a shelf in his room. Later he added 2 more figures to the shelf. How many action figures were on his shelf total?,"var1 = find(starting figures) # 8, var2 = find(figures added) # 2, var3 = add(var1, var2), CALL # 8 + 2 = 10, return(var3) # 10","Jerry avait 8 figurines articulées sur une étagère dans sa chambre. Plus tard, il a ajouté 2 autres figurines sur l'étagère. Combien y avait-il de figurines articulées sur son étagère au total ?","var1 = find(chiffres de départ) # 8, var2 = find(chiffres ajoutés) # 2, var3 = add(var1, var2), CALL # 8 + 2 = 10, return(var3) # 10"
2338,"They entered the circus tent and saw that there are four seating sections for the audience. If each section can accommodate 246 people, how many people can the tent accommodate in total?","var1 = find(people per section) # 246, var2 = find(number of sections) # 4, var1 = multiply(var1, var2), CALL # 246 * 4 = 984, return(var1) # 984","Ils sont entrés dans le chapiteau du cirque et ont vu qu'il y avait quatre sections de sièges pour le public. Si chaque section peut accueillir 246 personnes, combien de personnes la tente peut-elle accueillir au total ?","var1 = find(personnes par section) # 246, var2 = find(nombre de sections) # 4, var1 = multiplier(var1, var2), CALL # 246 * 4 = 984, return(var1) # 984"
2127,Mrs. Hilt bought 15 books. She paid $11 for each book. She later sold all 15 books for $25 each. What is the difference between the total amount of money Mrs. Hilt sold the books for and the total amount of money she paid for the books?,"var1 = find(books bought) # 15, var2 = find(price per book bought) # 11, var3 = multiply(var1, var2), CALL # 15 * 11 = 165, var4 = find(price per book sold) # 25, var5 = multiply(var1, var4), CALL # 15 * 25 = 375, var6 = subtract(var5, var3), CALL # 375 - 165 = 210, return(var6) # 210","Mme Hilt a acheté 15 livres. Elle a payé 11 $ pour chaque livre. Plus tard, elle a vendu les 15 livres pour 25 $ chacun. Quelle est la différence entre le montant total d'argent pour lequel Mme Hilt a vendu les livres et le montant total d'argent qu'elle a payé pour les livres ?","var1 = trouver(livres achetés) # 15, var2 = trouver(prix par livre acheté) # 11, var3 = multiplier(var1, var2), CALL # 15 * 11 = 165, var4 = trouver(prix par livre vendu) # 25 , var5 = multiplier (var1, var4), APPEL # 15 * 25 = 375, var6 = soustraire (var5, var3), APPEL # 375 - 165 = 210, retour (var6) # 210"
212,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 197 chocolate chip cookies and 46 raisin cookies yesterday. And she baked 75 raisin cookies and 66 chocolate chip cookies this morning.How many more chocolate chip cookies did Helen bake yesterday compared to today?,"var1 = find(yesterday chocolate chip cookies) #197, var2 = find(today chocolate chip cookies) #66, var3 = subtract(var1, var2), CALL # 197 - 66 = 131, return(var3) #131",Helen l'hippopotame et ses amis se préparent pour l'action de grâces chez Helen. Helen a préparé 197 biscuits aux pépites de chocolat et 46 biscuits aux raisins secs hier. Et elle a fait cuire 75 biscuits aux raisins secs et 66 biscuits aux pépites de chocolat ce matin. Combien de biscuits aux pépites de chocolat Helen a-t-elle fait hier par rapport à aujourd'hui ?,"var1 = trouver(biscuits aux pépites de chocolat d'hier) #197, var2 = trouver(biscuits aux pépites de chocolat d'aujourd'hui) #66, var3 = soustraire(var1, var2), APPEL # 197 - 66 = 131, retour(var3) #131"
1151,The school is planning a field trip. The school has 11 classrooms. There are 100 students in the school and 20 seats on each school bus. How many buses are needed to take the trip?,"var1 = find(students) # 100, var2 = find(seats) # 20, var3 = divide(var1, var2), CALL # 100 / 20 = 5, var4 = multiply(var3, var2), CALL # 5 * 20 = 100, var5 = subtract(var1, var4), CALL # 100 - 100 = 0, return(var3) # 5",L'école prévoit une sortie scolaire. L'école compte 11 salles de classe. Il y a 100 élèves dans l'école et 20 sièges dans chaque autobus scolaire. Combien de bus faut-il pour faire le trajet ?,"var1 = trouver(étudiants) # 100, var2 = trouver(sièges) # 20, var3 = diviser(var1, var2), APPEL # 100 / 20 = 5, var4 = multiplier(var3, var2), APPEL # 5 * 20 = 100, var5 = soustraire(var1, var4), APPEL # 100 - 100 = 0, retour(var3) # 5"
1533,"Chris has 18 soccer cards. His friend, Charlie, has 32 cards. How many fewer cards does Chris have?","var1 = find(Chris card) # 18, var2 = find(Charlie cards) # 32, var3 = subtract(var2, var1), CALL # 32 - 18 = 14, return(var3) # 14","Chris a 18 cartes de football. Son ami, Charlie, a 32 cartes. Combien de cartes de moins Chris a-t-il ?","var1 = trouver (carte Chris) # 18, var2 = trouver (cartes Charlie) # 32, var3 = soustraire (var2, var1), APPEL # 32 - 18 = 14, retour (var3) # 14"
1221,An architect was building his two story house. On the first floor the house had 6 bedrooms and the second floor had 4 bedrooms. How many bedrooms does the house have totaled?,"var1 = find(first floor bedrooms) # 6, var2 = find(second floor bedrooms) # 4, var3 = add(var1, var2), CALL # 6 + 4 = 10, return(var3) # 10","Un architecte construisait sa maison à deux étages. Au premier étage, la maison avait 6 chambres et le deuxième étage avait 4 chambres. Combien de chambres la maison compte-t-elle ?","var1 = find(chambres au premier étage) # 6, var2 = find(chambres au deuxième étage) # 4, var3 = add(var1, var2), CALL # 6 + 4 = 10, return(var3) # 10"
1605,"A car dealer sold 14 cars on the first day, 16 cars on the second day, and 27 cars on the third day. How many cars did the car dealer sell on the 3 days?","var1 = find(cars sold on first day) # 14, var2 = find(cars sold on second day) # 16, var3 = add(var1, var2), CALL # 14 + 16 = 30, var2 = find(cars sold on third day) # 27, var3 = add(var3, var2), CALL # 30 + 27 = 57, return(var3) # 57","Un concessionnaire automobile a vendu 14 voitures le premier jour, 16 voitures le deuxième jour et 27 voitures le troisième jour. Combien de voitures le concessionnaire automobile a-t-il vendu sur les 3 jours ?","var1 = find(voitures vendues le premier jour) # 14, var2 = find(voitures vendues le deuxième jour) # 16, var3 = add(var1, var2), CALL # 14 + 16 = 30, var2 = find(voitures vendues le troisième jour) # 27, var3 = add(var3, var2), CALL # 30 + 27 = 57, return(var3) # 57"
2408,Mrs. Hilt bought a yoyo for 24 cents and a whistle for 14 cents. How much did she spend in all for the two toys?,"var1 = find(cost of yoyo) # 24 cents, var2 = find(cost of whistle) # 14 cents, var3 = add(var1, var2), CALL # 24 + 14 = 38 cents, return(var3) # 38 cents",Mme Hilt a acheté un yoyo pour 24 cents et un sifflet pour 14 cents. Combien a-t-elle dépensé en tout pour les deux jouets ?,"var1 = find(coût du yoyo) # 24 cents, var2 = find(coût du sifflet) # 14 cents, var3 = add(var1, var2), CALL # 24 + 14 = 38 cents, return(var3) # 38 cents"
1972,Third-grade students went to a concert in 8 buses. Each bus took 45 students. How many students went to the concert?,"var1 = find(students per bus) # 45, var2 = find(number of buses) # 8, var3 = multiply(var1, var2), CALL # 45 * 8 = 360, return(var3) # 360",Les élèves de troisième année sont allés à un concert dans 8 bus. Chaque bus transportait 45 élèves. Combien d'élèves sont allés au concert ?,"var1 = find(élèves par bus) # 45, var2 = find(nombre de bus) # 8, var3 = multiplier(var1, var2), CALL # 45 * 8 = 360, return(var3) # 360"
1054,"Shelley has 12 forks and 16 knives to place in silverware holders at the fast food restaurant where she works. She wants to distribute them equally, with no forks or knives left over. What is the greatest number of silverware holders Shelley can stock?","var1 = find(""forks"") # 12, var2 = find(""knives"") # 16, var3 = find_gcd(var1, var2) # GCD(12,16) = 4, return(var3) # 4","Shelley a 12 fourchettes et 16 couteaux à placer dans les porte-argenterie du fast-food où elle travaille. Elle veut les répartir équitablement, sans fourchettes ni couteaux. Quel est le plus grand nombre de supports d'argenterie que Shelley peut stocker ?","var1 = find(""fourchettes"") # 12, var2 = find(""couteaux"") # 16, var3 = find_gcd(var1, var2) # GCD(12,16) = 4, return(var3) # 4"
1927,Joy will see her grandma in two days. How many hours until she sees her?,"var1 = find(days till Joy see her grandma) # 2, var2 = find(hours in a day) # 24, var1 = multiply(var1, var2), CALL # 2 * 24 = 48, return(var1) # 48",Joy verra sa grand-mère dans deux jours. Combien d'heures avant qu'elle ne la voie ?,"var1 = trouver (jours jusqu'à ce que Joy voit sa grand-mère) # 2, var2 = trouver (heures dans une journée) # 24, var1 = multiplier (var1, var2), APPEL # 2 * 24 = 48, retour (var1) # 48"
2322,Diane wants to buy a package of cookies. The cookies cost 65 cents. Diane has 27 cents. How much more money does she need?,"var1 = find(cookies cost) # 65, var2 = subtract(var1, 27) # 65 - 27 = 38, return(var2) # 38",Diane veut acheter un paquet de biscuits. Les cookies coûtent 65 centimes. Diane a 27 cents. De combien d'argent a-t-elle encore besoin ?,"var1 = trouver(coût des cookies) # 65, var2 = soustraire(var1, 27) # 65 - 27 = 38, retourner(var2) # 38"
18,Jerry had 3 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed some of the old ones. If there are 6 action figures on his shelf nowHow many action figures did he remove from the shelf?,"var1 = find(action figures) #3, var2 = find(action figures added) #4, var3 = add(var1, var2), CALL # 3 + 4 = 7, var4 = find(action figures now) #6, var5 = subtract(var3, var4), CALL # 7 - 6 = 1, return(var5) # 1","Jerry avait 3 figurines articulées sur une étagère dans sa chambre. Plus tard, il a ajouté 4 figurines d'action supplémentaires à l'étagère et a supprimé certaines des anciennes. S'il y a 6 figurines articulées sur son étagère maintenant, combien de figurines articulées a-t-il retirées de l'étagère ?","var1 = trouver(figurines d'action) #3, var2 = trouver(figurines d'action ajoutées) #4, var3 = ajouter(var1, var2), CALL # 3 + 4 = 7, var4 = trouver(figurines d'action maintenant) #6, var5 = soustraire(var3, var4), APPEL # 7 - 6 = 1, retour(var5) # 1"
2414,The puppet show begins at 2:00 p.m. It lasts 1 hour and 30 minutes. What time does it end?,The puppet show ends at 3:30 p.m.,Le spectacle de marionnettes commence à 14h00. Elle dure 1h30. A quelle heure se termine-t-il ?,Le spectacle de marionnettes se termine à 15h30.
1380,On Monday Debby jogged 2 kilometers. On Tuesday she jogged 5 kilometers and on Wednesday she jogged 9. How many kilometers did she jog total? ,"var1 = find(Monday jog) # 2, var2 = find(Tuesday jog) # 5, var3 = find(Wednesday jog) # 9, var4 = add(var1, var2), CALL # 2 + 5 = 7, var5 = add(var4, var3), CALL # 7 + 9 = 16, return(var5) # 16","Lundi, Debby a couru 2 kilomètres. Mardi, elle a couru 5 kilomètres et mercredi, elle en a couru 9. Combien de kilomètres a-t-elle parcouru au total ?","var1 = find(jog du lundi) # 2, var2 = find(jog du mardi) # 5, var3 = find(jog du mercredi) # 9, var4 = add(var1, var2), CALL # 2 + 5 = 7, var5 = add (var4, var3), APPEL # 7 + 9 = 16, retour (var5) # 16"
649,Rachel picked 4 apples from her tree. If the tree had 7 apples initially.How many apples are still there on the tree?,"apples_on_tree = find(apples on the tree) # 7, picked_apples = find(picked apples) # 4, remaining_apples = subtract(apples_on_tree, picked_apples), CALL # 7 - 4 = 3, return(remaining_apples) # 3",Rachel a cueilli 4 pommes de son arbre. Si l'arbre avait initialement 7 pommes. Combien y a-t-il encore de pommes sur l'arbre ?,"apples_on_tree = trouver(pommes sur l'arbre) # 7, picked_apples = trouver(cueillir des pommes) # 4, pommes restantes = soustraire(apples_on_tree, picked_apples), CALL # 7 - 4 = 3, return(remaining apples) # 3"
2271,Students from Flora Middle School were asked to participate in the event. They planted 47 apple trees and 27 orange trees in the forest near their school. How many trees in total did the students plant?,"var1 = find(apple trees) # 47, var2 = find(orange trees) # 27, var1 = add(var1, var2), CALL # 47 + 27 = 74, return(var1) # 74",Les élèves de Flora Middle School ont été invités à participer à l'événement. Ils ont planté 47 pommiers et 27 orangers dans la forêt près de leur école. Combien d'arbres au total les élèves ont-ils plantés ?,"var1 = find(pommiers) # 47, var2 = find(orangers) # 27, var1 = add(var1, var2), CALL # 47 + 27 = 74, return(var1) # 74"
1967,Paco had 35 cookies. He ate 6 of them. How many cookies did Paco have left?,"var1 = find(cookies originally) # 35, var2 = find(cookies Paco ate) # 6, var3 = subtract(var1, var2), CALL # 35 - 6 = 29, return(var3) # 29",Paco avait 35 biscuits. Il en a mangé 6. Combien de cookies restait Paco ?,"var1 = find(cookies originellement) # 35, var2 = find(cookies que Paco a mangé) # 6, var3 = subtract(var1, var2), CALL # 35 - 6 = 29, return(var3) # 29"
1085,Faye had 12 apps on her phone. To free up some space she deleted 8 of the apps. How many apps did she have left?,"var1 = find(starting apps) # 12, var2 = find(apps deleted) # 8, var3 = subtract(var1, var2), CALL # 12 - 8 = 4, return(var3) # 4","Faye avait 12 applications sur son téléphone. Pour libérer de l'espace, elle a supprimé 8 des applications. Combien d'applications lui restait-il ?","var1 = trouver (applications de démarrage) # 12, var2 = trouver (applications supprimées) # 8, var3 = soustraire (var1, var2), APPEL # 12 - 8 = 4, retour (var3) # 4"
891,While playing a video game Victor lost fourteen lives. Now he has two lives. What's the difference between the number of the lives that Victor lost and now?,"var1 = find(Victor's lives lost) # 14, var2 = find(Victor's lives now) # 2, var1 = subtract(var1, var2), CALL # 14 - 2 = 12, return(var1) # 12","En jouant à un jeu vidéo, Victor a perdu quatorze vies. Maintenant, il a deux vies. Quelle est la différence entre le nombre de vies que Victor a perdues et maintenant ?","var1 = find(La vie de Victor a été perdue) # 14, var2 = find(La vie de Victor maintenant) # 2, var1 = soustract(var1, var2), CALL # 14 - 2 = 12, return(var1) # 12"
76,Allan brought 3 balloons and Jake brought 5 balloons to the park. Allan then bought 2 more balloons at the park.How many balloons did Allan and Jake have in the park?,"var1 = find(Allan balloons) #3, var2 = add(var1, 2), CALL # 3 + 2 = 5, var3 = find(Jake balloons) #5, var4 = add(var2, var3), CALL # 5 + 5 = 10, return(var4) # 10",Allan a apporté 3 ballons et Jake a apporté 5 ballons au parc. Allan a ensuite acheté 2 autres ballons au parc. Combien de ballons Allan et Jake avaient-ils dans le parc ?,"var1 = trouver(ballons Allan) #3, var2 = ajouter(var1, 2), APPEL # 3 + 2 = 5, var3 = trouver(ballons Jake) #5, var4 = ajouter(var2, var3), APPEL # 5 + 5 = 10, retour(var4) # 10"
1229,Katie had seventy-two DS games and her friend had twenty-three games. How many do they have total?,"var1 = find(Katie games) # 72, var2 = find(friend games) # 23, var1 = add(var1, var2), CALL # 72 + 23 = 95, return(var1) # 95",Katie avait soixante-douze jeux DS et son amie vingt-trois jeux. Combien en ont-ils au total ?,"var1 = find(Katie games) # 72, var2 = find(friend games) # 23, var1 = add(var1, var2), CALL # 72 + 23 = 95, return(var1) # 95"
1776,"An event has 12 adults and 20 children. The event planner wants to make each table identical, with the same combination of adults and children and no people left over. What is the greatest number of tables the planner can set up?","var1 = find(adults) # 12, var2 = find(children) # 20, var3 = gcd(var1, var2) # gcd(12, 20) = 4, return(var3) # 4","Un événement a 12 adultes et 20 enfants. Le planificateur d'événements veut que chaque table soit identique, avec la même combinaison d'adultes et d'enfants et qu'il ne reste personne. Quel est le plus grand nombre de tables que le planificateur peut mettre en place ?","var1 = trouver(adultes) # 12, var2 = trouver(enfants) # 20, var3 = pgcd(var1, var2) # pgcd(12, 20) = 4, retour(var3) # 4"
2086,"After eating a hearty meal, they went to see the Buckingham Palace. There, Rachel learned that 583 visitors came to the palace that day. If there were 246 visitors the previous day, how many visited the palace within 2 days?","var1 = find(day 1 visitors) # 583, var2 = find(day 2 visitors) # 246, var1 = add(var1, var2), CALL # 583 + 246 = 829, return(var1) # 829","Après avoir mangé un repas copieux, ils sont allés voir le palais de Buckingham. Là, Rachel apprit que 583 visiteurs étaient venus au palais ce jour-là. S'il y avait 246 visiteurs la veille, combien ont visité le palais en 2 jours ?","var1 = find(visiteurs du jour 1) # 583, var2 = find(visiteurs du jour 2) # 246, var1 = add(var1, var2), CALL # 583 + 246 = 829, return(var1) # 829"
2005,"Rob is very fond of tall structures. He likes collecting pictures and comparing them. Two of his favorite buildings are Chicago's Sears Tower and Dubai's Burj Khalifa. If Burj Khalifa stands at 830 meters high and Sears stands at 527 meters high, how much higher is Burj Khalifa than Sears?","var1 = find(height of Burj Khalifa) # 830, var2 = find(height of Sears Tower) # 527, var1 = subtract(var1, var2), CALL # 830 - 527 = 303, return(var1) # 303","Rob aime beaucoup les structures hautes. Il aime collectionner des images et les comparer. Deux de ses bâtiments préférés sont la Sears Tower de Chicago et le Burj Khalifa de Dubaï. Si Burj Khalifa se dresse à 830 mètres de haut et Sears à 527 mètres de haut, combien est Burj Khalifa plus haut que Sears ?","var1 = find(hauteur de Burj Khalifa) # 830, var2 = find(hauteur de Sears Tower) # 527, var1 = subtract(var1, var2), CALL # 830 - 527 = 303, return(var1) # 303"
2184,"Gary had some stickers. He gave 42 stickers to Lucy and 26 stickers to Alex. If he had 31 stickers left, how many stickers did Gary have at first?","var1 = find(stickers given to Lucy) # 42, var2 = find(stickers given to Alex) # 26, var3 = add(var1, var2), CALL # 42 + 26 = 68, var2 = find(stickers left) # 31, var3 = add(var3, var2), CALL # 68 + 31 = 99, return(var3) # 99","Gary avait des autocollants. Il a donné 42 autocollants à Lucy et 26 autocollants à Alex. S'il lui restait 31 autocollants, combien d'autocollants Gary avait-il au départ ?","var1 = find(stickers donnés à Lucy) # 42, var2 = find(stickers donnés à Alex) # 26, var3 = add(var1, var2), CALL # 42 + 26 = 68, var2 = find(stickers left) # 31 , var3 = ajouter(var3, var2), APPEL # 68 + 31 = 99, retour(var3) # 99"
168,Emily is making bead necklaces for her friends. Each necklace takes 8 beads and she has 16 beads.How many necklaces can Emily make?,"var1 = find(beads) #16, var2 = divide(var1, 8), CALL # 16 / 8 = 2, return(var2) #2",Emily fabrique des colliers de perles pour ses amis. Chaque collier contient 8 perles et elle en a 16. Combien de colliers Emily peut-elle fabriquer ?,"var1 = trouver(perles) #16, var2 = diviser(var1, 8), APPEL # 16 / 8 = 2, retourner(var2) #2"
472,Rebecca wants to split a collection of eggs into 4 groups. Rebecca has 8 eggs and 6 marbles.How many eggs will each group have?,"var1 = find(eggs Rebecca has) # 8, var2 = find(number of groups) # 4, var3 = find(eggs per group) # 8 / 4 = 2, CALL # 8 / 4 = 2, return(var3) # 2",Rebecca veut diviser une collection d'œufs en 4 groupes. Rebecca a 8 œufs et 6 billes. Combien d'œufs chaque groupe aura-t-il ?,"var1 = find(oeufs que Rebecca a) # 8, var2 = find(nombre de groupes) # 4, var3 = find(oeufs par groupe) # 8 / 4 = 2, CALL # 8 / 4 = 2, return(var3) # 2"
1829,"Roger collected 42 pennies, 36 nickels and 15 dimes. He donated some of his coins and had 27 coins left. How many coins did Roger donate?","var1 = find(pennies) # 42, var2 = find(nickels) # 36, var3 = add(var1, var2), CALL # 42 + 36 = 78, var4 = find(dimes) # 15, var5 = add(var3, var4), CALL # 78 + 15 = 93, var6 = find(coins after) # 27, var7 = subtract(var5, var6), CALL # 93 - 27 = 66, return(var7) # 66","Roger a collecté 42 centimes, 36 nickels et 15 dimes. Il a fait don de certaines de ses pièces et il lui restait 27 pièces. Combien de pièces Roger a-t-il donné ?","var1 = find(pennys) # 42, var2 = find(nickels) # 36, var3 = add(var1, var2), CALL # 42 + 36 = 78, var4 = find(dimes) # 15, var5 = add(var3, var4), CALL # 78 + 15 = 93, var6 = find(pièces après) # 27, var7 = subtract(var5, var6), CALL # 93 - 27 = 66, return(var7) # 66"
