prompt,summary
"If Carl has a total of 89 stamps and Kevin has 57, how many more stamps does Carl have more than Kevin?","var1 = [find](stamps collected by Carl) # 89, var2 = [find](stamps collected by Kevin) # 57, var1 = [subtract](var1, var2), [CALL] # 89 - 57 = 32, [return](var1) # 32"
"There were 105 parents in the program and 698 pupils, too. How many people were present in the program?","var1 = [find](parents in program) # 105, var2 = [find](pupils in program) # 698, var3 = [add](var1, var2), [CALL] # 105 + 698 = 803, [return](var3) # 803"
Rachel had to complete 5 pages of math homework and yet more pages of reading homework. If she had to complete a total of 7 pages of homeworkHow many pages of reading homework did she have to complete?,"var1 = [find](math homework pages) # 5, var2 = [find](total homework pages) # 7, var3 = [subtract](var2, var1), [CALL] # 7 - 5 = 2, [return](var3) # 2"
"Michelle likes to save money every now and then so that she has money to buy the things that she wants. One day, she decided to count her savings. She opened her piggy bank and sorted out the different coins and dollar bills. If she counted a total of 20 nickels (a nickel is equivalent to 5 cents), what is the total value of money does she have in nickels?","var1 = [find](number of nickels) # 20, var2 = [find](value per nickel) # 5, var1 = [multiply](var1, var2), [CALL] # 20 * 5 = 100, [return](var1) # 100"
"A painter needed to paint 10 rooms in a building. Each room takes 8 hours to paint. If he already painted 8 rooms, how much longer will he take to paint the rest?","var1 = [find](rooms to paint) # 10, var2 = [find](painted rooms) # 8, var1 = [subtract](var1, var2), [CALL] # 10 - 8 = 2, var2 = [find](hours per room) # 8, var3 = [multiply](var1, var2), [CALL] # 2 * 8 = 16, [return](var3) # 16"
A DVD book holds 126 DVDs. There are 81 DVDs already in the book. How many more DVDs can be put in the book?,"var1 = [find](DVDs in book) # 81, var2 = [find](total DVDs in book) # 126, var3 = [subtract](var2, var1), [CALL] # 126 - 81 = 45, [return](var3) # 45"
"The friends then proceeded to the rest of the houses in their village. However, Sam had to go home earlier. She got her share of candies which are composed of 10 chewing gums, 15 chocolate bars, and 20 assorted fruit candies. How many candies did she get in total?","var1 = [find](chewing gums) # 10, var2 = [find](chocolate bars) # 15, var1 = [add](var1, var2), [CALL] # 10 + 15 = 25, var2 = [find](assorted fruit candies) # 20, var1 = [add](var1, var2), [CALL] # 25 + 20 = 45, [return](var1) # 45"
"Your local radio station is having their yearly music player and concert ticket giveaway. For one minute, every 5th caller will win a music player and every 7th caller will win concert tickets. You were just the first caller to win both a music player and concert tickets! What number caller were you?","var1 = [find](music player giveaway) # 5, var2 = [find](concert ticket giveaway) # 7, var3 = [lcm](var1,var2), [CALL] # [lcm](5,7) = 35, [return](var3) # 35"
Adam has 4 more apples than Jackie. Together Adam and Jackie have 14 apples. Bob has 6 apples more than Adam and Jackie together do.How many apples does Bob have?,"var1 = [find](apples Adam has) # 4 more than Jackie, var2 = [find](apples Jackie has) # 10, var3 = [add](var1, var2), var4 = [find](apples Adam and Jackie have together) # 14, var5 = [subtract](var3, var4), var6 = [find](apples Bob has) # 6 more than Adam and Jackie together, var7 = [add](var4, var6), [CALL] # 14 + 6 = 20, [return](var7) # 20"
He then went to see the oranges being harvested. He found out that they harvest 67 sacks per day and that each sack containes 12 oranges.How many oranges are harvested if they harvest a total of 35 sacks of oranges?,"var1 = [find](sacks per day) # 67, var2 = [find](sacks harvested) # 35, var3 = [find](oranges in a sack) # 12, var4 = [multiply](var2, var3), [CALL] # 35 * 12 = 420, [return](var4) # 420"
