prompt,summary
"In one day a movie store rented out 15 comedies. If the ratio of comedies rented to action movies rented was 3:1, how many action movies were rented?","var1 = [find] comedies rented [/find]  # 15, var2 = [divide] var1, 3 [/divide]  # 15 / 3 = 5, [return] var2 [/return]  # 5 "
Sally memorized eight poems. After some time she could only recite three of them. How many poems did she forget? ,"var1 = [find] memorized poems [/find]  # 8, var2 = [find] recited poems [/find]  # 3, var3 = [subtract] var1, var2 [/subtract]  # 8 - 3 = 5, [return] var3 [/return]  # 5 "
"Carmen did 4 sit-ups on Sunday, 8 sit-ups on Monday, 16 sit-ups on Tuesday, 32 sit-ups on Wednesday, and 64 sit-ups on Thursday. If this pattern continues, how many sit-ups will Carmen do on Friday?","var1 = [find] ""sit-ups on Sunday"" [/find]  # 4, var2 = [find] ""sit-ups on Monday"" [/find]  # 8, var3 = [find] ""sit-ups on Tuesday"" [/find]  # 16, var4 = [find] ""sit-ups on Wednesday"" [/find]  # 32, var5 = [find] ""sit-ups on Thursday"" [/find]  # 64, var6 = [multiply] var5, 2 [/multiply]  # 64 * 2 = 128, [return] var6 [/return]  # 128 "
Connie saved up $39. She wants to buy a watch that costs $55. How much more money does Connie need?,"var1 = [find] Connie's money [/find]  # 39, var2 = [find] cost of watch [/find]  # 55, var3 = [subtract] var2, var1 [/subtract]  # 55 - 39 = 16, [return] var3 [/return]  # 16 "
Isabel had sixty-eight pieces of candy. Her friend gave her twenty-five more pieces. How many pieces of candy did Isabel have total?,"var1 = [find] starting candy [/find]  # 68, var2 = [find] new candy [/find]  # 25, var1 = [add] var1, var2 [/add]  # 68 + 25 = 93, [return] var1 [/return]  # 93 "
James ate 22 carrot sticks before dinner and 15 more after dinner. How many carrot sticks did he eat?,"var1 = [find] ate carrot sticks before dinner [/find]  # 22, var2 = [find] ate more carrot sticks after dinner [/find]  # 15, var3 = [add] var1, var2 [/add]  # 22 + 15 = 37, [return] var3 [/return]  # 37 "
Ted has 15 candy bars. He wants to put them into 5 bags so there are the same number of candy bars in each bag. How many candy bars should go in each bag?,"var1 = [find] candy bars [/find]  # 15, var2 = [find] bags [/find]  # 5, var3 = [divide] var1, var2 [/divide]  # 15 / 5 = 3, [return] var3 [/return]  # 3 "
"Mrs. Hilt saw 33 butterflies. Some of the butterflies were red and others were orange. If 20 of the butterflies were orange, how many of them were red?","var1 = [find] number of orange butterflies [/find]  # 20, var2 = [find] total number of butterflies [/find]  # 33, var3 = [subtract] var2, var1 [/subtract]  # 33 - 20 = 13, [return] var3 [/return]  # 13 "
"If you had 37 bags of cookies with 19 cookies in each bag, how many cookies would you have?","var1 = [find] bags of cookies [/find]  # 37, var2 = [find] cookies per bag [/find]  # 19, var1 = [multiply] var1, var2 [/multiply]  # 37 * 19 = 703, [return] var1 [/return]  # 703 "
Yadira's mom is buying hot dogs and hot dog buns for the family barbecue. Hot dogs come in packs of 12 and hot dog buns come in packs of 9. The store does not sell parts of a pack and Yadira's mom wants the same number of hot dogs as hot dog buns. What is the smallest total number of hot dogs that Yadira's mom can purchase?,"var1 = [find] hot dogs [/find]  # 12, var2 = [find] hot dog buns [/find]  # 9, var3 = [lcm] var1,var2 [/lcm]  # [lcm] 12,9 [/lcm]  = 36, [return] var3 [/return]  # 36 "
