prompt,summary
My ice cream shop was really busy today. It was 98 degrees and we sold 67 ice cream cones. We sold 15 more milkshakes than ice cream cones. How many milkshakes were sold?,"var1 = [find](ice cream cones sold) # 67, var2 = [find](milkshakes sold) # 67 + 15 = 82, [return](var2) # 82"
"The garment factory produces 665 sets of children's clothing, and the production of adult clothing is 7 times that of children's clothing. How many sets of adult clothing are produced?","var1 = [find](number of sets of children's clothing) #665, var2 = [multiply](var1, 7) # 665 * 7 = 4655, [return](var2) # 4655"
"To build a road, the full length (3/4) has been built, which is exactly 30 kilometers. How many kilometers is the total length of this road?","var1 = [find](length of built road) #30, var2 = [divide](var1, fraction(3,4)) # 30 / 0.75 = 40, [return](var2) # 40"
"After eating at the restaurant, Sally, Sam, and Alyssa decided to divide the bill evenly. If each person paid 45 dollars, what was the total of the bill?","var1 = [find](number of people) #3, var2 = [multiply](var1, 45) #3 * 45 = 135, [return](var2) # 135"
"There are 142 pear trees in the orchard, and 12 times as many apple trees as pear trees. How many apple trees are there?","var1 = [find](number of pear trees) #142, var2 = [multiply](var1, 12) # 142 x 12 = 1704, [return](var2) # 1704"
Kelly had 56 apples. How many more apples does Kelly need to pick to have 105 apples altogether?,"var1 = [find](Kelly had apples) # 56, var2 = [find](apples Kelly needs to pick) # 105 - 56 # 105 - 56 = 49, [return](var2) # 49"
The perimeter of an equilateral triangle is 54 cm. Find the length of each side of triangle.,"var1 = [find](perimeter) # 54, var2 = [divide](var1, 3) # 54 / 3 = 18, [return](var2) # 18"
"The tree planters planted 201 poplars this year, three times as many pine trees as poplars. How many pine trees did they plant?","var1 = [find](number of poplars planted) #201, var2 = [multiply](var1, 3) # 201 * 3 = 603, [return](var2) # 603"
The sixth grade students went to the garbage power station to visit and study. Each car can seat 58 people. It is known that there are 218 boys and 188 girls in the sixth grade. How many such buses are needed? (use comprehensive formula to answer),"var1 = [find](total number of sixth grade students) #218 + 188 = 406, var2 = [find](number of buses needed) #use the comprehensive formula: [divide](var1, (seating capacity per bus)) with rounding up to the nearest whole number # [divide](406, 58) = 7 with rounding up, [return](var2) #7"
The Smart Mart sells educational toys. They sold 45 science kits last week. The sold 9 fewer puzzles than science kits. How many puzzles did the Smart Mart sell?,"var1 = [find](science kits) # 45, var2 = [subtract](var1, 9) # 45 - 9 = 36, [return](var2) # 36"
Sally has 6 blue balloons. Fred has 3 times more blue balloons than Sally. How many blue balloons does Fred have now?,"var1 = [find](number of blue balloons owned by Sally) #6, var2 = [multiply](var1, 3) # 6 * 3 = 18, [return](var2) # 18"
"The fruit store shipped 560 kilograms of apples, and the number of oranges shipped was 1.5 times that of apples. How many kilograms of oranges did the fruit store ship?","var1 = [find](kilograms of apples shipped) # 560, var2 = [multiply](var1, 1.5) # 560 * 1.5 = 840, [return](var2) # 840"
"Enrique puts 12% of his monthly paycheck in an IRA. If he invests 72 dollars in his IRA, how much was his paycheck?","var1 = percentage(invested in IRA) #12, var2 = [find](amount invested in IRA) #72, var3 = [divide](var2, var1) # 72 / 0.12 = 600, [return](var3) #600"
"The canteen shipped 8 tons of rice, and the flour was 1/4 of the rice. How many tons of flour was shipped?","var1 = [find](tons of rice shipped) #8, var2 = calculate(1/4) # 0.25, var3 = [multiply](var1, var2) # 8 * 0.25 = 2, [return](var3) # 2"
The zee Theme Park's fountain wall is in the shape of equilateral triangle. The total perimeter of the wall is 51 yards. Find the measure of each side of the wall.,"var1 = [find](perimeter) # 51, var2 = [divide](var1, 3) # 51 / 3 = 17, [return](var2) # 17"
"The students line up to do exercises, and Xiaohong is ranked 8th. How many people are there in front of her?","var1 = [find](Xiaohong's rank) #8, var2 = [subtract](var1, 1) # 8 - 1 = 7, [return](var2) # 7"
Lianjiao Primary School has a total of 280 students. The number of second grade students is 1/7 of the total number of students in the school. How many students are there in second grade?,"var1 = [find](total number of students) #280, var2 = [multiply](var1, (1/7)) # 280 * (1/7) = 40, [return](var2) #40"
Diane wants to buy a package of cookies. The cookies cost 65 cents. Diane has 27 cents. How much more money does she need?,"var1 = [find](cookies cost) # 65, var2 = [subtract](var1, 27) # 65 - 27 = 38, [return](var2) # 38"
"A professional chicken farmer raised some chickens, and after selling 20% ​​of them, there were 1280 chickens left. How many chickens did this professional chicken farmer have?","var1 = [find](total number of chickens after selling 20%) #1280, var2 = [divide](var1, 0.8) # 1280 / 0.8 = 1600, [return](var2) # 1600"
"There are 400 metasequoias planted in the community, and the number of sycamores planted is 1/4 more than that of metasequoia. How many sycamores are planted?","var1 = [find](number of metasequoias planted) #400, var2 = [multiply](var1, 1.25) # 400 x 1.25 = 500, [return](var2) # 500"
"There are 24 girls in the school chorus, which is 25% less than boys. How many boys are there in this chorus?","var1 = [find](number of girls in chorus) #24, var2 = [divide](var1, 0.75) # 24 / 0.75 = 32, [return](var2) # 32"
"Mary, Sam, Keith, and Alyssa each have 6 baseball cards. How many baseball cards do they have in all?","var1 = [find](number of baseball cards each person has) #6, var2 = [multiply](var1, 4) # 6 * 4 = 24, [return](var2) # 24"
Juxing Primary School selects table tennis players to participate in the city-level primary school table tennis competition. It plans to select 2 players from 5 players. How many different ways are there in total?,"var1 = [find](number of players) #5, var2 = [find](number of players to be selected) #2, var3 = combination(var1, var2) # combination(5,2) = 10, [return](var3) # 10"
Zachary did 47 push-ups in gym class today. David did 15 more push-ups than Zachary. How many push-ups did David do?,"var1 = [find](Zachary push-ups) # 47, var2 = [add](var1, 15) # 47 + 15 = 62, [return](var2) # 62"
There are 15 shapes. How many groups of 3 can you make with them?,"var1 = [find](number of shapes) # 15, var2 = [divide](var1, 3) # 15 / 3 = 5, [return](var2) # 5"
Alyssa has 36 books. Nancy has 7 times more books than Alyssa. How many books does Nancy have?,"var1 = [find](number of books Alyssa has) #36, var2 = [multiply](var1, 7) #36 x 7 = 252, [return](var2) #252"
A wire encloses a square with a side length of 4 cm. What is the length of the wire in cm?,"var1 = [find](side length of square) #4, var2 = [multiply](var1, 4) # 4 * 4 = 16, [return](var2) # 16"
There are 46 birds perched on the branches of a tree. How many feet are there on the branches?,"var1 = [find](birds on branches) # 46, var2 = [multiply](var1, 2) # 46 * 2 = 92, [return](var2) # 92"
Tim has saved 2000 cents from selling lemonade. How many dollars does Tim have?,"var1 = [find](amount of cents saved by Tim) #2000, var2 = [divide](var1, 100) # 2000 / 100 = 20, [return](var2) # 20"
Lisa went on a 52 km. She divided the distance traveled evenly over 4 days. How many meters did Lisa walk each day?,"var1 = [find](distance traveled by Lisa) # 52 km, var2 = [find](number of days) # 4, [return](var1/var2 * 1000) # 52 km / 4 = 13 km, 13 km * 1000 m/km = 13000"
Mrs. Hilt read 2 books per day. How many books did she read in one week?,"var1 = [find](books read per day) # 2, var2 = [multiply](var1, 7) # 2 * 7 = 14, [return](var2) # 14"
Sara has 9 dozen golf balls. How many golf balls does she have?,"var1 = [find](number of dozens of golf balls) #9, var2 = [multiply](var1, 12) # 9 * 12 = 108, [return](var2) # 108"
"At summer camp the ratio of boys to girls was 10:1. If there were 30 boys, how many girls were there?","var1 = [find](boys at camp) # 30, var2 = [divide](var1, 10) # 30 / 10 = 3, [return](var2) # 3"
Tim has 13 dozen golf balls. How many golf balls does he have?,"var1 = [find](number of dozens of golf balls) #13, var2 = [multiply](var1, 12) # 13 * 12 = 156, [return](var2) # 156"
Benny bought 7 dozen eggs from the grocery store to bake some cakes. How many eggs did Benny buy?,"var1 = [find](number of dozens of eggs) #7, var2 = [multiply](var1, 12) # 7 * 12 = 84, [return](var2) # 84"
Kate is 12 years old. His age is 4 times the age of Robbie. Find the age of Robbie.,"var1 = [find](Kate age) # 12, var2 = [divide](var1, 4) # 12 / 4 = 3, [return](var2) # 3"
"There are 60 willow trees in the park, and the number of pine trees is (2/3) that of willow trees. How many pine trees are there in the park?","var1 = [find](number of willow trees) #60, var2 = [multiply](var1, 2/3) # 60 * 2/3 = 40, [return](var2) #40"
Sara has 192 golf balls. How many dozen golf balls does she have?,"var1 = [find](number of golf balls owned by Sara) #192, var2 = [divide](var1, 12) # 192 / 12 = 16, [return](var2) # 16"
"Donna and her friend found some money. They split the money evenly, each getting $32.50. How much money did they find?","var1 = [find](amount per person) # 32.50, var2 = [multiply](var1, 2) # 32.50 * 2 = 65, [return](var2) # 65"
"For Xiaoxin’s birthday, she bought a square cake with a circumference of 48 cm. Insert a candle every 4 cm on the side of the cake. How many candles are needed in total?","var1 = [find](circumference of square cake in cm) #48, var2 = [divide](var1, 4) # 48 / 4 = 12, [return](var2) # 12"
"There is a circular pillar in front of the hotel, and its circumference is measured to be 31.4 decimeters. What is the diameter of this pillar = how many decimeters?","var1 = [find](circumference of pillar) #31.4 decimeters, var2 = [divide](var1, pi) # 31.4 / 3.14 = 10, [return](var2) # 10"
"In one day a movie store rented out 15 comedies. If the ratio of comedies rented to action movies rented was 3:1, how many action movies were rented?","var1 = [find](comedies rented) # 15, var2 = [divide](var1, 3) # 15 / 3 = 5, [return](var2) # 5"
"A farm originally planned to afforest 12 hectares last year, but the actual afforestation was 16% more than planned. How much was actually reforested last year?","var1 = [find](planned afforestation) #12, var2 = [multiply](var1, 1.16) # 12 * 1.16 = 13.92, [return](var2) # 13.92"
"Master Wang remitted 500 yuan from the post office to his home. According to regulations, the remittance fee was 1% of the remittance amount. How much remittance fee should Mr. Wang pay?","var1 = [find](remittance amount) # 500, var2 = [multiply](var1, 0.01) # 500 * 0.01 = 5, [return](var2) # 5"
The road between A and B is 216 kilometers long. A car travels from A to B and travels the entire distance (3/8). How many kilometers is it from A?,"var1 = [find](total distance between A and B) #216, var2 = [find](proportion of distance traveled from A to B) #3/8, var3 = [multiply](var1, var2) # 216 * 3/8 = 81, [return](var3) #81"
The price of clothes in Lantian Mall is 0.9. My mother bought a top and spent 108 yuan. How much did this top cost?,"var1 = [find](price of clothes) #0.9, var2 = [find](amount spent by mother) #108, var3 = [divide](var2, var1) # 108 /0.9 = 120, [return](var3) #120"
A chef bought 0.14 kilograms of almonds and 0.38 kilograms of pecans. How many kilograms of nuts did the chef buy in all?,"var1 = [find](weight of almonds in kg) #0.14, var2 = [find](weight of pecans in kg) #0.38, var3 = [add](var1, var2) # 0.14 + 0.38 = 0.52, [return](var3) # 0.52"
"A total of 3,000 chickens are raised in the chicken farm, of which (3/5) are laying hens. How many laying hens are there?","var1 = [find](total number of chickens) #3,000, var2 = [find](fraction of laying hens) #(3/5), var3 = [multiply](var1, var2) # 3000 * (3/5) = 1800, [return](var3) # 1800"
"Vanessa bought twelve old CDs at a garage sale. If seven of the CDs were scratched up, how many good CDs did she buy?","var1 = [find](total CDs) # 12, var2 = [find](scratched CDs) # 7, var3 = [subtract](var1, var2) # 12 - 7 = 5, [return](var3) # 5"
Wu Xin's height last year was 147 cm. This year he is taller than last year (1/21). How many centimeters has he grown this year?,"var1 = [find](Wu Xin's height last year) # 147, var2 = [find](percentage of growth) # 1/21, var3 = [multiply](var1, var2) # 147 * 1/21 = 7, [return](var3) # 7"
The four sides of a parallelogram are all 5 cm long and the height is 3 cm. Find the area of ​​this parallelogram =?,"var1 = [find](length of side of parallelogram) #5, var2 = [find](height of parallelogram) #3, var3 = [multiply](var1, var2) # 5 * 3 = 15, [return](var3) # 15"
A suit is priced at 168 yuan after hitting 0.8. How much is the original price of this suit?,"var1 = [find](final price of suit) #168, var2 = [find](discount) #0.8, var3 = [divide](var1, var2) # 168 / 0.8 = 210, [return](var3) # 210"
"Before she went home, she bought t-shirts, key chains and handmade bracelets as souvenirs. She spent $347.00 on key chains and bracelets which is $146.00 more than she spent on t-shirts. How much money did she spend on all the souvenirs?","var1 = [find](money spent on key chains and bracelets) # 347, var2 = [subtract](var1, 146) # 347 - 146 = 201, var1 = [add](var1, var2) # 347 + 201 = 548, [return](var1) # 548"
Roger has 92 blocks. 2 are eaten by a hippopotamus. How many blocks will Roger have?,"var1 = [find](number of blocks Roger has) #92, var2 = [find](number of blocks eaten by hippopotamus) #2, var3 = [subtract](var1, var2) # 92 - 2 = 90, [return](var3) # 90"
Sean has 223 whistles. Sean has 95 more whistles than Charles. How many whistles does Charles have?,"var1 = [find](total number of Sean's whistles) #223, var2 = [find](difference in whistles between Sean and Charles) #95, var3 = [subtract](var1, var2) # 223 - 95 = 128, [return](var3) # 128"
"An industrial machine made 196 shirts. If it made one minute to make 7 shirts, how many minutes was it working?","var1 = [find](shirts) # 196, var2 = [find](shirts per minute) # 7, var3 = [divide](var1, var2) # 196 / 7 = 28, [return](var3) # 28"
"There are 85 kilograms of apples, accounting for (1/2) of the total number of fruits. How many kilograms of fruits are there in total?","var1 = [find](number of apples) #85, var2 = [find](fraction of apples in total fruits) #(1/2), var3 = [divide](var1, var2) # 85 / (1/2) = 170, [return](var3) # 170"
A multi-national corporation has 2041 part-time employees and 63093 full-time employees. How many employees work for the corporation?,"var1 = [find](number of part-time employees) #2041, var2 = [find](number of full-time employees) #63093, var3 = [add](var1, var2) # 2041 + 63093 = 65134, [return](var3) # 65134"
Karen has 639 crayons. Cindy has 504 crayons. How many more crayons does Karen have than Cindy?,"var1 = [find](number of crayons Karen has) #639 , var2 = [find](number of crayons Cindy has) #504 , var3 = [subtract](var1, var2) #639 - 504, [return](var3) #135"
"The path opened to a beautiful garden enclosed by a wall. The exit door will open when the number of white flowers is the same as the number of red flowers. If there are 555 white flowers and 347 red flowers, how many more red flowers are needed?","var1 = [find](number of white flowers) # 555, var2 = [find](number of red flowers) # 347, var1 = [subtract](var1, var2) # 555 - 347 = 208, [return](var1) # 208"
"At a pie-eating contest, Erik got through 0.6666666666666666 of a pie before time was called; Frank finished just 0.3333333333333333 of a pie. How much more pie did Erik eat than Frank?","var1 = [find](amount of pie Erik ate) #0.6666666666666666, var2 = [find](amount of pie Frank ate) #0.3333333333333333, var3 = [subtract](var1, var2) # 0.6666666666666666 - 0.3333333333333333 = 0.3333333333333333, [return](var3) #0.3333333333333333"
"Xiaodong runs for 15 minutes every morning, and his speed is about 125 meters per minute. How many meters does Xiaodong run every morning?","var1 = [find](time Xiaodong runs) #15 minutes, var2 = [find](Xiaodong's speed) #125 meters per minute, var3 = [multiply](var1, var2) # 15 * 125 = 1875, [return](var3) # 1875"
Jonah added 0.3 cups of yellow raisins and 0.4 cups of black raisins to a batch of trail mix. How many cups of raisins did Jonah add in all?,"var1 = [find](amount of yellow raisins added) #0.3, var2 = [find](amount of black raisins added) #0.4, var3 = [add](var1, var2) # 0.3 + 0.4 = 0.7, [return](var3) # 0.7"
An industrial machine made 12 shirts. It can make 2 shirts a minute. How many minutes was the machine working?,"var1 = [find](shirts made) # 12, var2 = [find](shirts per minute) # 2, var3 = [divide](var1, var2) # 12 / 2 = 6, [return](var3) # 6"
Kim has 4 cousins. She wants to give each cousin 5 pieces of gum. How much gum will she need?,"var1 = [find](number of cousins) #4, var2 = [find](pieces of gum per cousin) #5, var3 = [multiply](var1, var2) # 4 * 5 = 20, [return](var3) # 20"
"A website held a survey of ""My Favorite Shows in the 2013 Spring Festival Gala"", among which 9,600 viewers liked sketches and songs and dances, and the number of viewers who liked sketches was three times that of those who liked songs and dances. How many people in the audience like singing and dancing?","var1 = [find](number of viewers who liked sketches and songs and dances) #9,600, var2 = [find](ratio of sketches to songs and dances) #3:1, var3 = [divide](var1, [add](3,1)) # 9600 / 4 = 2400, [return](var3) # 2400"
6 students were sitting at each table in the lunchroom. There are 34 tables. How many students were sitting in the lunchroom?,"var1 = [find](number of students per table) #6, var2 = [find](number of tables) #34, var3 = [multiply](var1, var2) # 6 * 34 = 204, [return](var3) # 204"
"When they got there, they saw that SFL is already filled with people. Every entrance has a long line, with 283 people waiting to get in. If SFL has 5 entrances, how many people in total are waiting to get in?","var1 = [find](people per entrance) # 283, var2 = [find](number of entrances) # 5, var1 = [multiply](var1, var2) # 283 * 5 = 1415, [return](var1) # 1415"
A pet store had sixty-four birds that talked and thirteen that didn't. How many birds did the pet store have total?,"var1 = [find](talking birds) # 64, var2 = [find](non-talking birds) # 13, var1 = [add](var1, var2) # 64 + 13 = 77, [return](var1) # 77"
