Unnamed: 0,prompt,summary,fr_prompt,fr_summary
561,The ring toss game at the carnival made 144 dollars per day. They were at the carnival for 22 days.How much money did they make?,"var1 = find(dollars per day), var2 = find(days at carnival), var3 = multiply(var1, var2), CALL, return(var3)",Le jeu de lancer d'anneaux au carnaval rapportait 144 dollars par jour. Ils étaient au carnaval pendant 22 jours. Combien d'argent ont-ils gagné ?,"var1 = trouver(dollars par jour), var2 = trouver(jours au carnaval), var3 = multiplier(var1, var2), CALL, return(var3)"
1672,I see 23 boys. How many eyes do I see?,"var1 = find(boys), var2 = multiply(var1, 2), CALL, return(var2)",Je vois 23 garçons. Combien d'yeux est-ce que je vois ?,"var1 = trouver(garçons), var2 = multiplier(var1, 2), CALL, return(var2)"
2022,"Andrew, Annie's other friend, was assigned with the preparation of appetizers. He decided to bring 30 hotdogs on sticks, 20 pieces of bite-sized cheese pops and 40 pieces of chicken nuggets. How many portions of appetizers did Andrew bring in all?","var1 = find(hotdogs), var2 = find(cheese pops), var1 = add(var1, var2), CALL, var2 = find(chicken nuggets), var1 = add(var1, var2), CALL, return(var1)","Andrew, l'autre ami d'Annie, était chargé de la préparation des amuse-bouches. Il a décidé d'apporter 30 hot-dogs sur bâtonnets, 20 morceaux de sucettes au fromage de la taille d'une bouchée et 40 morceaux de pépites de poulet. Combien de portions d'amuse-gueule Andrew a-t-il apporté en tout ?","var1 = trouver(hotdogs), var2 = trouver(cheese pops), var1 = add(var1, var2), CALL, var2 = find(chicken nuggets), var1 = add(var1, var2), CALL, return(var1)"
2174,Mario made 18 posters to help advertise the fair. Samantha made 15 more posters than Mario. How many posters did they make altogether?,"var1 = find(Mario posters), var2 = add(var1, 15), CALL, var3 = add(var1, var2), CALL, return(var3)",Mario a fait 18 affiches pour aider à annoncer la foire. Samantha a fait 15 affiches de plus que Mario. Combien d'affiches ont-ils réalisées en tout ?,"var1 = trouver (affiches Mario), var2 = ajouter (var1, 15), APPEL, var3 = ajouter (var1, var2), APPEL, retour (var3)"
82,There are 141 pots. Each pot has 71 flowers and 91 sticks in it.How many flowers are there in all?,"var1 = find(flowers in a pot), var2 = multiply(var1, 141), CALL, return(var2)",Il y a 141 pots. Chaque pot contient 71 fleurs et 91 bâtons. Combien y a-t-il de fleurs en tout ?,"var1 = trouver(fleurs dans un pot), var2 = multiplier(var1, 141), CALL, return(var2)"
1509,John has twelve shirts. Later he bought four more shirts. How many shirts does John have total?,"var1 = find(starting shirts), var2 = find(new shirts), var1 = add(var1, var2), CALL, return(var1)","John a douze chemises. Plus tard, il a acheté quatre autres chemises. Combien de chemises John a-t-il au total ?","var1 = find(starting shirts), var2 = find(new shirts), var1 = add(var1, var2), CALL, return(var1)"
1262,"One day, Trent and his friends had lunch while sitting at tables of 2. Another day, they had lunch at tables of 8. What is the smallest number of people that could be in the group?","var1 = find(""tables of 2""), var2 = find(""tables of 8""), var3 = find_lcm(var1, var2), return(var3)","Un jour, Trent et ses amis ont déjeuné assis à des tables de 2. Un autre jour, ils ont déjeuné à des tables de 8. Quel est le plus petit nombre de personnes pouvant être dans le groupe ?","var1 = find(""tables de 2""), var2 = find(""tables de 8""), var3 = find_lcm(var1, var2), return(var3)"
1920,Vincent has learned the words to 56 songs. He learned 18 more songs at summer camp. How many songs does Vincent know now?,"var1 = find(initial songs), var2 = add(var1, 18), return(var2)",Vincent a appris les paroles de 56 chansons. Il a appris 18 autres chansons au camp d'été. Combien de chansons Vincent connaît-il maintenant ?,"var1 = find(chansons initiales), var2 = add(var1, 18), return(var2)"
2390,"To make sure that the cake is sweet, he needs 450 lbs. of sugar. If he has 287 lbs. of sugar stored in his house, how much additional sugar will he need?","var1 = find(total sugar needed), var2 = find(current sugar), var1 = subtract(var1, var2), CALL, return(var1)","Pour s'assurer que le gâteau est sucré, il a besoin de 450 livres. de sucre. S'il a 287 livres. de sucre stocké dans sa maison, de combien de sucre supplémentaire aura-t-il besoin ?","var1 = trouver(sucre total nécessaire), var2 = trouver(sucre actuel), var1 = soustraire(var1, var2), CALL, return(var1)"
1518,"There are 315 cups of puddings to be distributed to 218 students. If each of them wants an equal number of pudding cups, at least how many more pudding cups are needed?","var1 = find(puddings), var2 = find(students), var3 = divide(var1, var2), CALL, var3 = round_down(var3), CALL, var4 = multiply(var2, var3), CALL, var5 = subtract(var1, var4), CALL, var6 = subtract(var2, var5), CALL, return(var6)","Il y a 315 tasses de puddings à distribuer à 218 élèves. Si chacun d'eux veut un nombre égal de coupes de pudding, au moins combien de coupes de pudding supplémentaires sont nécessaires ?","var1 = trouver(puddings), var2 = trouver(étudiants), var3 = diviser(var1, var2), APPEL, var3 = arrondir(var3), APPEL, var4 = multiplier(var2, var3), APPEL, var5 = soustraire(var1 , var4), APPEL, var6 = soustraire(var2, var5), APPEL, retour(var6)"
1371,Adam needed to climb ninety-six stair steps to reach the rooftop. He already climbed seventy-four. How many stair steps do left for Adam to climb now?,"var1 = find(total stair steps), var2 = find(climbed stair steps), var3 = subtract(var1, var2), CALL, return(var3)",Adam devait gravir quatre-vingt-seize marches d'escalier pour atteindre le toit. Il a déjà grimpé soixante-quatorze. Combien de marches d'escalier reste-t-il à Adam à monter maintenant ?,"var1 = trouver(nombre total de marches d'escalier), var2 = trouver(marches d'escalier montées), var3 = soustraire(var1, var2), CALL, return(var3)"
2015,Each bag contains 23 pounds of oranges. How many pounds of oranges are in 45 bags?,"var1 = find(pounds in each bag), var2 = find(total number of bags), var3 = multiply(var1, var2), CALL, return(var3)",Chaque sac contient 23 livres d'oranges. Combien y a-t-il de livres d'oranges dans 45 sacs ?,"var1 = trouver(livres dans chaque sac), var2 = trouver(nombre total de sacs), var3 = multiplier(var1, var2), CALL, return(var3)"
2285,"The capacity of a tank is 32 gallons. If a company bought 728 gallons of oil, how many tanks are needed to hold all the oil?","var1 = find(gallons of oil), var2 = find(gallons per tank), var3 = divide(var1, var2), CALL, var3 = round_up(var3), CALL, return(var3)","La capacité d'un réservoir est de 32 gallons. Si une entreprise achète 728 gallons de pétrole, combien de réservoirs sont nécessaires pour contenir tout le pétrole ?","var1 = trouver(gallons d'huile), var2 = trouver(gallons par réservoir), var3 = diviser(var1, var2), CALL, var3 = round_up(var3), CALL, return(var3)"
2368,"Last Saturday, Marie sold 425 magazines and 275 newspapers. What is the total number of reading materials she sold?","var1 = find(sold magazines), var2 = find(sold newspapers), var3 = add(var1, var2), CALL, return(var3)","Samedi dernier, Marie a vendu 425 magazines et 275 journaux. Quel est le nombre total de matériels de lecture qu'elle a vendus ?","var1 = trouver(magazines vendus), var2 = trouver(journaux vendus), var3 = ajouter(var1, var2), CALL, return(var3)"
1418,"Henry was playing tic-tac-toe. He won 2 times, lost 2 times and it was a draw 10 times. How many times did Henry play? ","var1 = find(Henry wins), var2 = find(Henry losses), var3 = find(draws), var4 = add(var1, var2), CALL, var5 = add(var4, var3), CALL, return(var5)","Henry jouait au tic-tac-toe. Il a gagné 2 fois, perdu 2 fois et c'était un match nul 10 fois. Combien de fois Henry a-t-il joué ?","var1 = trouver(Henry gagne), var2 = trouver(Henry perd), var3 = trouver(nul), var4 = ajouter(var1, var2), APPEL, var5 = ajouter(var4, var3), APPEL, retour(var5)"
1834,Charlene made 60 bead necklaces. She sold 16 at a craft fair. She gave 18 to her friends. How many necklaces did Charlene have then?,"var1 = find(necklaces made), var2 = subtract(var1, 16), CALL, var3 = subtract(var2, 18), CALL, return(var3)",Charlene a fabriqué 60 colliers de perles. Elle en a vendu 16 lors d'une foire artisanale. Elle en a donné 18 à ses amis. Combien de colliers Charlene avait-elle alors ?,"var1 = trouver(colliers faits), var2 = soustraire(var1, 16), CALL, var3 = soustraire(var2, 18), CALL, return(var3)"
571,Mary is baking a cake. The recipe calls for 9 cups of sugar 14 cups of flour and 40 cups of salt. She already put in 4 cups of flour.How many more cups of flour than cups of sugar does she need to add now?,"var1 = find(calls for sugar cups), var2 = find(calls for flour cups), var3 = find(flour cups put in), var4 = subtract(var2, var3), var5 = subtract(var4, var1), CALL, return(var5)",Marie prépare un gâteau. La recette demande 9 tasses de sucre 14 tasses de farine et 40 tasses de sel. Elle a déjà mis 4 tasses de farine. Combien de tasses de farine de plus que de tasses de sucre doit-elle ajouter maintenant ?,"var1 = find(appelle des gobelets à sucre), var2 = find(appelle des gobelets de farine), var3 = find(tasses de farine mises dedans), var4 = subtract(var2, var3), var5 = subtract(var4, var1), CALL, retour(var5)"
678,Jesse has 18 square feet of carpet. If her room is 4 feet long and 20 feet wideHow much more carpet does she need to cover the whole floor?,"var1 = find(Room length), var2 = find(Room width), var3 = mul(var1, var2), CALL, var4 = find(Carpet Jesse has), var3 = sub(var3, var4), CALL, return(var3)","Jesse a 18 pieds carrés de tapis. Si sa chambre mesure 4 pieds de long et 20 pieds de large, de combien de tapis a-t-elle besoin pour couvrir tout le sol ?","var1 = find(Longueur de la pièce), var2 = find(Largeur de la pièce), var3 = mul(var1, var2), CALL, var4 = find(Carpet Jesse has), var3 = sub(var3, var4), CALL, return(var3 )"
1873,Jake has 36 comic books. His brother has 15 more comic books than Jake. How many comic books do they have altogether?,"var1 = find(Jake comic books), var2 = add(var1, 15), var3 = add(var1, var2), return(var3)",Jake a 36 bandes dessinées. Son frère a 15 bandes dessinées de plus que Jake. Combien de bandes dessinées ont-ils en tout ?,"var1 = trouver (BD de Jake), var2 = ajouter (var1, 15), var3 = ajouter (var1, var2), retour (var3)"
309,There are 3941 skittles in Steven's skittles collection. Steven also has 4950 erasers. If the erasers are organized into 495 groupsHow big is each group?,"var1 = find(skittles), var2 = find(erasers), var3 = divide(var2, 495), CALL, return(var3)","Il y a 3941 quilles dans la collection de quilles de Steven. Steven possède également 4950 gommes. Si les gommes sont organisées en 495 groupes, quelle est la taille de chaque groupe ?","var1 = trouver(quilles), var2 = trouver(gommes), var3 = diviser(var2, 495), CALL, return(var3)"
1535,"For the final touches, John wanted to paint the house using the 3 primary colors. If he has 5 liters of paint for each color, how many liters of paint does he have in all?","var1 = find(number of colors), var2 = find(liters of paint for each color), var1 = multiply(var1, var2), CALL, return(var1)","Pour la touche finale, John a voulu peindre la maison en utilisant les 3 couleurs primaires. S'il a 5 litres de peinture pour chaque couleur, combien de litres de peinture a-t-il en tout ?","var1 = trouver(nombre de couleurs), var2 = trouver(litres de peinture pour chaque couleur), var1 = multiplier(var1, var2), CALL, return(var1)"
24,There were 15 roses and 62 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 17 roses and 96 orchids in the vase.How many roses did she cut?,"var1 = find(roses), var2 = find(orchids), var3 = add(var1, var2), CALL, var4 = find(roses now), var5 = find(orchids now), var6 = add(var4, var5), CALL, var7 = subtract(var6, var3), CALL, var8 = subtract(var4, var1), CALL, return(var8)",Il y avait 15 roses et 62 orchidées dans le vase. Jessica a coupé d'autres roses et orchidées de son jardin de fleurs. Il y a maintenant 17 roses et 96 orchidées dans le vase. Combien de roses a-t-elle coupées ?,"var1 = trouver(roses), var2 = trouver(orchidées), var3 = ajouter(var1, var2), APPEL, var4 = trouver(roses maintenant), var5 = trouver(orchidées maintenant), var6 = ajouter(var4, var5), APPEL, var7 = soustraire(var6, var3), APPEL, var8 = soustraire(var4, var1), APPEL, retour(var8)"
2377,Greg and Brad started reading their books at the same time. Greg read 18 pages a day. Brad read 26 pages a day. How many more pages did Brad read than Greg?,"var1 = find(Greg's pages), var2 = find(Brad's pages), var3 = subtract(var2, var1), return(var3)",Greg et Brad ont commencé à lire leurs livres en même temps. Greg lisait 18 pages par jour. Brad lisait 26 pages par jour. Combien de pages de plus Brad a-t-il lu que Greg ?,"var1 = trouver(les pages de Greg), var2 = trouver(les pages de Brad), var3 = soustraire(var2, var1), retourner(var3)"
415,"Every day Ryan spends 6 hours on learning english 7 hours on learning chinese and 3 hours on learning spanish.How many hours does he spend on learning english, chinese and spanish in all?","var1 = find(hours spent on learning english), var2 = find(hours spent on learning chinese), var3 = add(var1, var2), var4 = find(hours spent on learning spanish), var5 = add(var3, var4), CALL, return(var5)","Chaque jour, Ryan passe 6 heures à apprendre l'anglais, 7 heures à apprendre le chinois et 3 heures à apprendre l'espagnol. Combien d'heures passe-t-il à apprendre l'anglais, le chinois et l'espagnol en tout ?","var1 = trouver(heures passées à apprendre l'anglais), var2 = trouver(heures passées à apprendre le chinois), var3 = ajouter(var1, var2), var4 = trouver(heures passées à apprendre l'espagnol), var5 = ajouter(var3, var4) , APPEL, retour(var5)"
1890,"HappyLand has twice the land area of Super Fun-tastic Land. If Super Fun-tastic Land has a land area of 4897 square feet, what would be the total land area of HappyLand?","var1 = find(SFL land area), var2 = find(land area multiplier), var1 = multiply(var1, var2), CALL, return(var1)","HappyLand a deux fois la superficie de Super Fun-tastic Land. Si Super Fun-tastic Land a une superficie de 4897 pieds carrés, quelle serait la superficie totale de HappyLand ?","var1 = trouver (superficie terrestre SFL), var2 = trouver (multiplicateur de superficie terrestre), var1 = multiplier (var1, var2), APPEL, retour (var1)"
141,Jack received 6 emails in the morning and 2 emails in the afternoon.How many more emails did Jack receive in the morning than in the afternoon?,"var1 = find(morning emails), var2 = subtract(var1, 2), CALL, return(var2)",Jack a reçu 6 e-mails le matin et 2 e-mails l'après-midi. Combien d'e-mails Jack a-t-il reçus de plus le matin que l'après-midi ?,"var1 = trouver(courriels du matin), var2 = soustraire(var1, 2), APPEL, retourner(var2)"
496,3 birds and 2 storks were sitting on the fence. 5 more birds came to join them.How many birds and storks are sitting on the fence?,"var1 = find(birds on the fence), var2 = find(storks on the fence), var3 = add(var1, var2), var4 = find(additional birds), var5 = add(var1, var4), var6 = add(var5, var2), CALL, return(var6)",3 oiseaux et 2 cigognes étaient assis sur la clôture. 5 autres oiseaux sont venus les rejoindre. Combien d'oiseaux et de cigognes sont assis sur la clôture ?,"var1 = trouver(oiseaux sur la clôture), var2 = trouver(cigognes sur la clôture), var3 = ajouter(var1, var2), var4 = trouver(oiseaux supplémentaires), var5 = ajouter(var1, var4), var6 = ajouter( var5, var2), APPEL, retour (var6)"
619,There were 12 people on the bus. At the next stop 4 more people got on the bus. Each bus can not have more than 36 people.How many people are there on the bus now?,"var1 = find(people on the bus), var2 = find(additional people), var3 = add(var1, var2), var4 = find(maximum people the bus can carry), if (var3 > var4), return(var4), else, return(var3)","Il y avait 12 personnes dans le bus. Au prochain arrêt, 4 autres personnes sont montées dans le bus. Chaque bus ne peut pas avoir plus de 36 personnes. Combien y a-t-il de personnes dans le bus maintenant ?","var1 = find(personnes dans le bus), var2 = find(personnes supplémentaires), var3 = add(var1, var2), var4 = find(maximum de personnes que le bus peut transporter), if (var3 > var4), return(var4) , sinon, retour(var3)"
1763,"Shiela has 6 neighbors who like to collect animal drawings. Shiela has a talent for drawing and so she drew 54 animals on small pieces of paper. If she plans to give the same number of animal drawings to her neighbors, how many will each of them receive?","var1 = find(animal drawings), var2 = find(neighbors), var1 = divide(var1, var2), CALL, return(var1)","Shiela a 6 voisins qui aiment collectionner les dessins d'animaux. Shiela a un talent pour le dessin et elle a donc dessiné 54 animaux sur de petits morceaux de papier. Si elle envisage de donner le même nombre de dessins d'animaux à ses voisins, combien chacun d'eux recevra-t-il ?","var1 = trouver(dessins d'animaux), var2 = trouver(voisins), var1 = diviser(var1, var2), CALL, return(var1)"
669,Paco had 9 sweet cookies and 6 salty cookies. He ate 36 sweet cookies and 3 salty cookies.How many salty cookies did Paco have left?,"var1 = find(Sweet cookies), var2 = find(Salty cookies), var3 = find(Eaten sweet cookies), var4 = find(Eaten salty cookies), var1 = sub(var1, var3), CALL, var2 = sub(var2, var4), CALL, return(var2)",Paco avait 9 biscuits sucrés et 6 biscuits salés. Il a mangé 36 biscuits sucrés et 3 biscuits salés. Combien de biscuits salés restait Paco ?,"var1 = find(Biscuits sucrés), var2 = find(Biscuits salés), var3 = find(Biscuits sucrés mangés), var4 = find(Biscuits salés mangés), var1 = sub(var1, var3), APPEL, var2 = sub(var2 , var4), APPEL, retour(var2)"
602,Adam has 4 more apples than Jackie. Together Adam and Jackie have 14 apples. Bob has 6 apples more than Adam and Jackie together do.How many apples does Bob have?,"var1 = find(apples Adam has), var2 = find(apples Jackie has), var3 = add(var1, var2), var4 = find(apples Adam and Jackie have together), var5 = subtract(var3, var4), var6 = find(apples Bob has), var7 = add(var4, var6), CALL, return(var7)","Adam a 4 pommes de plus que Jackie. Ensemble, Adam et Jackie ont 14 pommes. Bob a 6 pommes de plus qu'Adam et Jackie ensemble. Combien de pommes Bob a-t-il ?","var1 = trouver(les pommes qu'Adam a), var2 = trouver(les pommes que Jackie a), var3 = ajouter(var1, var2), var4 = trouver(les pommes qu'Adam et Jackie ont ensemble), var5 = soustraire(var3, var4), var6 = trouver(pommes que Bob a), var7 = ajouter(var4, var6), CALL, return(var7)"
2386,"While heating the wings, Charlie decided to make metal supports for the wings. If he needs 635 lbs of metal and he has 276 lbs in storage, how much additional metal does he need to buy?","var1 = find(total metal needed), var2 = find(current metal), var1 = subtract(var1, var2), CALL, return(var1)","Tout en chauffant les ailes, Charlie a décidé de fabriquer des supports métalliques pour les ailes. S'il a besoin de 635 livres de métal et qu'il a 276 livres en stock, combien de métal supplémentaire doit-il acheter ?","var1 = trouver (total de métal nécessaire), var2 = trouver (métal actuel), var1 = soustraire (var1, var2), APPEL, retour (var1)"
1377,Ned mowed his lawn six times in the spring and five times in the summer. How many times did he mow total?,"var1 = find(spring mows), var2 = find(summer mows), var3 = add(var1, var2), CALL, return(var3)",Ned a tondu sa pelouse six fois au printemps et cinq fois en été. Combien de fois a-t-il tondu au total ?,"var1 = find(tondures de printemps), var2 = find(tondeuses d'été), var3 = add(var1, var2), CALL, return(var3)"
321,Jack received 6 emails and sent 91 letters in the morning. He then received 2 emails and sent 74 letters in the afternoon.How many emails did Jack receive in the day?,"var1 = find(morning emails), var2 = find(afternoon emails), var3 = add(var1, var2), CALL, return(var3)",Jack a reçu 6 e-mails et envoyé 91 lettres dans la matinée. Il a ensuite reçu 2 e-mails et envoyé 74 lettres dans l'après-midi. Combien d'e-mails Jack a-t-il reçus dans la journée ?,"var1 = find(emails du matin), var2 = find(emails de l'après-midi), var3 = add(var1, var2), CALL, return(var3)"
1221,An architect was building his two story house. On the first floor the house had 6 bedrooms and the second floor had 4 bedrooms. How many bedrooms does the house have totaled?,"var1 = find(first floor bedrooms), var2 = find(second floor bedrooms), var3 = add(var1, var2), CALL, return(var3)","Un architecte construisait sa maison à deux étages. Au premier étage, la maison avait 6 chambres et le deuxième étage avait 4 chambres. Combien de chambres la maison compte-t-elle ?","var1 = find(chambres au premier étage), var2 = find(chambres au deuxième étage), var3 = add(var1, var2), CALL, return(var3)"
822,Debby was placing her spare change into stacks. One stack had 4 coins and the other had 8. How many coins did she have total?,"var1 = find(stack 1), var2 = find(stack 2), var3 = add(var1, var2), CALL, return(var3)",Debby plaçait sa petite monnaie dans des piles. Une pile avait 4 pièces et l'autre en avait 8. Combien de pièces avait-elle au total ?,"var1 = trouver(pile 1), var2 = trouver(pile 2), var3 = ajouter(var1, var2), CALL, return(var3)"
2203,You have collected 7 crickets. How many more crickets do you need to collect to have 11 crickets?,"var1 = find(crickets collected), var2 = find(crickets needed to have 11), return(var2)",Vous avez récupéré 7 grillons. Combien de grillons de plus faut-il collecter pour avoir 11 grillons ?,"var1 = find(grillons collectés), var2 = find(grillons nécessaires pour en avoir 11), return(var2)"
925,"A teacher had 38 worksheets to grade. If she graded 4, but then another 15 were turned in, how many worksheets would she have to grade?","var1 = find(worksheets), var2 = find(graded worksheets), var1 = subtract(var1, var2), CALL, var2 = find(newly turned in worksheets), var1 = add(var1, var2), CALL, return(var1)","Un enseignant avait 38 feuilles de travail à noter. Si elle a noté 4, mais qu'ensuite 15 autres ont été rendues, combien de feuilles de travail devrait-elle corriger ?","var1 = trouver (feuilles de travail), var2 = trouver (feuilles de travail notées), var1 = soustraire (var1, var2), APPEL, var2 = trouver (feuilles de travail nouvellement rendues), var1 = ajouter (var1, var2), APPEL, retour (var1 )"
898,For Gwen's birthday she received five dollars. If she spent three dollars. How much money did she still have?,"var1 = find(total gift), var2 = find(spent money), var3 = subtract(var1, var2), CALL, return(var3)","Pour l'anniversaire de Gwen, elle a reçu cinq dollars. Si elle a dépensé trois dollars. Combien d'argent avait-elle encore ?","var1 = trouver(cadeau total), var2 = trouver(argent dépensé), var3 = soustraire(var1, var2), CALL, return(var3)"
240,Luke played a trivia game and gained 3 points in each round of a game. If he scored 78 points in the trivia gameHow many rounds did he play?,"var1 = find(total points), var2 = divide(var1, 3), CALL, return(var2)","Luke a joué à un jeu-questionnaire et a gagné 3 points à chaque tour d'un match. S'il a marqué 78 points dans le jeu-questionnaire, combien de tours a-t-il joué ?","var1 = trouver(points totaux), var2 = diviser(var1, 3), CALL, return(var2)"
2293,There are 46 birds perched on the branches of a tree. How many feet are there on the branches?,"var1 = find(birds on branches), var2 = multiply(var1, 2), CALL, return(var2)",Il y a 46 oiseaux perchés sur les branches d'un arbre. Combien y a-t-il de pieds sur les branches ?,"var1 = trouver(oiseaux sur les branches), var2 = multiplier(var1, 2), CALL, return(var2)"
866,"Paul bought six boxes of chocolate candy and four boxes of caramel candy. If each box has nine pieces inside it, how much candy did he have total?","var1 = find(boxes of chocolate candy), var2 = find(boxes of caramel candy), var1 = add(var1, var2), CALL, var2 = find(pieces per box), var3 = multiply(var1, var2), CALL, return(var3)","Paul a acheté six boîtes de bonbons au chocolat et quatre boîtes de bonbons au caramel. Si chaque boîte contient neuf morceaux, combien de bonbons avait-il au total ?","var1 = trouver(boîtes de bonbons au chocolat), var2 = trouver(boîtes de bonbons au caramel), var1 = ajouter(var1, var2), APPEL, var2 = trouver(pièces par boîte), var3 = multiplier(var1, var2), APPEL , retour(var3)"
1831,"Kate, Maggie, and Sue added up their ages. The total was 48. Kate is 19 and Maggie is 17. How old is Sue?","var1 = find(Kate's age), var2 = find(Maggie's age), var3 = subtract(48, var1), CALL, var3 = subtract(var3, var2), CALL, return(var3)","Kate, Maggie et Sue ont additionné leurs âges. Le total était de 48 ans. Kate a 19 ans et Maggie en a 17. Quel âge a Sue ?","var1 = trouver (âge de Kate), var2 = trouver (âge de Maggie), var3 = soustraire (48, var1), APPEL, var3 = soustraire (var3, var2), APPEL, retour (var3)"
1330,Alyssa has 30 books in her library. She bought several books at a yard sale over the weekend. She now has 88 books in her library. How many books did she buy at the yard sale ?,"var1 = find(books before), var2 = find(books after), var3 = subtract(var2, var1), return(var3)",Alyssa a 30 livres dans sa bibliothèque. Elle a acheté plusieurs livres lors d'un vide-grenier ce week-end. Elle a maintenant 88 livres dans sa bibliothèque. Combien de livres a-t-elle achetés au vide-grenier ?,"var1 = trouver(livres avant), var2 = trouver(livres après), var3 = soustraire(var2, var1), retour(var3)"
2082,There were 14 kids on the soccer field. 22 kids decided to join in. Now how many kids are on the soccer field?,"var1 = find(kids on soccer field), var2 = find(kids joining the soccer field), var3 = add(var1, var2), CALL, return(var3)","Il y avait 14 enfants sur le terrain de football. 22 enfants ont décidé de participer. Maintenant, combien d'enfants sont sur le terrain de football ?","var1 = find(enfants sur le terrain de foot), var2 = find(enfants rejoignant le terrain de foot), var3 = add(var1, var2), CALL, return(var3)"
