Unnamed: 0,prompt,summary
767,"Zack enseigne aux étudiants en groupes de 14. Pendant ce temps, Karen enseigne aux étudiants en groupes de 10. En discutant de leur travail, les tuteurs se rendent compte qu'ils travaillent tous les deux avec le même nombre total d'étudiants. Quel est le plus petit nombre d'élèves que chacun peut avoir ?","var1 = find(""Groupe d'étudiants de Zack"") # 14, var2 = find(""Groupe d'étudiants de Karen"") # 10, var3 = find_lcm(var1, var2) # LCM(14,10) = 70, return(var3) # 70"
1750,"Leur prochain adversaire était l'équipe verte. Si leur score final est de 68 points et qu'ils menaient de 29 points, quel est le score final de l'équipe verte ?","var1 = find(points marqués par Blue Team) # 68, var2 = find(différence de points) # 29, var1 = soustract(var1, var2), CALL # 68 - 29 = 39, return(var1) # 39"
961,"Cet après-midi, Alec a remarqué que le numéro de la page attribuée aux devoirs est divisible à la fois par 4 et 13. Quel est le plus petit numéro de page possible qui aurait pu être attribué ?","var1 = find(""diviseur par 4"") # 4, var2 = find(""diviseur par 13"") # 13, var3 = find_lcm(var1, var2) # LCM(4,13) = 52, return(var3) # 52"
1608,"Tyler, un défenseur des droits des animaux, a décidé de construire son propre sanctuaire animalier pour protéger différents animaux des braconniers. Le sanctuaire était divisé en différentes régions. La première région à être construite était une réserve ornithologique. Initialement, il avait 29 espèces d'oiseaux en voie de disparition dans cette région. Si chaque espèce a 7 couples d'oiseaux, combien de couples a-t-il au total ?","var1 = trouver(espèces d'oiseaux) # 29, var2 = trouver(paires par espèce) # 7, var1 = multiplier(var1, var2), APPEL # 29 * 7 = 203, retour(var1) # 203"
1518,"Il y a 315 tasses de puddings à distribuer à 218 élèves. Si chacun d'eux veut un nombre égal de coupes de pudding, au moins combien de coupes de pudding supplémentaires sont nécessaires ?","var1 = find(puddings) # 315, var2 = find(students) # 218, var3 = diviser(var1, var2), CALL # 315 / 218 = 1.44, var3 = round_down(var3), CALL # round down(1.44) = 1, var4 = multiplier (var2, var3), CALL # 218 * 1 = 218, var5 = soustraire (var1, var4), CALL # 315 - 218 = 97, var6 = soustraire (var2, var5), CALL # 218 - 97 = 121, retour(var6) # 121"
819,"Au carnaval, le ratio de personnes qui ont gagné le jeu du lancer d'anneaux et qui l'ont perdu était de 4:1. Si 28 personnes avaient gagné, combien de personnes auraient perdu ?","var1 = trouver(gagné) # 28, var2 = diviser(var1, 4), var3 = multiplier(var2, 1 + 4), CALL # (28 / 4) * (1 + 4) = 35, var4 = soustraire(var3 , var1), APPEL # 35 - 28 = 7, retour(var4) # 7"
1311,"Jerry avait 8 figurines articulées sur une étagère dans sa chambre. Plus tard, il a ajouté 2 autres figurines sur l'étagère. Combien y avait-il de figurines articulées sur son étagère au total ?","var1 = find(chiffres de départ) # 8, var2 = find(chiffres ajoutés) # 2, var3 = add(var1, var2), CALL # 8 + 2 = 10, return(var3) # 10"
2338,"Ils sont entrés dans le chapiteau du cirque et ont vu qu'il y avait quatre sections de sièges pour le public. Si chaque section peut accueillir 246 personnes, combien de personnes la tente peut-elle accueillir au total ?","var1 = find(personnes par section) # 246, var2 = find(nombre de sections) # 4, var1 = multiplier(var1, var2), CALL # 246 * 4 = 984, return(var1) # 984"
2127,"Mme Hilt a acheté 15 livres. Elle a payé 11 $ pour chaque livre. Plus tard, elle a vendu les 15 livres pour 25 $ chacun. Quelle est la différence entre le montant total d'argent pour lequel Mme Hilt a vendu les livres et le montant total d'argent qu'elle a payé pour les livres ?","var1 = trouver(livres achetés) # 15, var2 = trouver(prix par livre acheté) # 11, var3 = multiplier(var1, var2), CALL # 15 * 11 = 165, var4 = trouver(prix par livre vendu) # 25 , var5 = multiplier (var1, var4), APPEL # 15 * 25 = 375, var6 = soustraire (var5, var3), APPEL # 375 - 165 = 210, retour (var6) # 210"
212,Helen l'hippopotame et ses amis se préparent pour l'action de grâces chez Helen. Helen a préparé 197 biscuits aux pépites de chocolat et 46 biscuits aux raisins secs hier. Et elle a fait cuire 75 biscuits aux raisins secs et 66 biscuits aux pépites de chocolat ce matin. Combien de biscuits aux pépites de chocolat Helen a-t-elle fait hier par rapport à aujourd'hui ?,"var1 = trouver(biscuits aux pépites de chocolat d'hier) #197, var2 = trouver(biscuits aux pépites de chocolat d'aujourd'hui) #66, var3 = soustraire(var1, var2), APPEL # 197 - 66 = 131, retour(var3) #131"
1151,L'école prévoit une sortie scolaire. L'école compte 11 salles de classe. Il y a 100 élèves dans l'école et 20 sièges dans chaque autobus scolaire. Combien de bus faut-il pour faire le trajet ?,"var1 = trouver(étudiants) # 100, var2 = trouver(sièges) # 20, var3 = diviser(var1, var2), APPEL # 100 / 20 = 5, var4 = multiplier(var3, var2), APPEL # 5 * 20 = 100, var5 = soustraire(var1, var4), APPEL # 100 - 100 = 0, retour(var3) # 5"
