,prompt,summary
561,The ring toss game at the carnival made 144 dollars per day. They were at the carnival for 22 days.How much money did they make?,"var1 = find(dollars per day), var2 = find(days at carnival), var3 = multiply(var1, var2), CALL, return(var3)"
1672,I see 23 boys. How many eyes do I see?,"var1 = find(boys), var2 = multiply(var1, 2), CALL, return(var2)"
2022,"Andrew, Annie's other friend, was assigned with the preparation of appetizers. He decided to bring 30 hotdogs on sticks, 20 pieces of bite-sized cheese pops and 40 pieces of chicken nuggets. How many portions of appetizers did Andrew bring in all?","var1 = find(hotdogs), var2 = find(cheese pops), var1 = add(var1, var2), CALL, var2 = find(chicken nuggets), var1 = add(var1, var2), CALL, return(var1)"
2174,Mario made 18 posters to help advertise the fair. Samantha made 15 more posters than Mario. How many posters did they make altogether?,"var1 = find(Mario posters), var2 = add(var1, 15), CALL, var3 = add(var1, var2), CALL, return(var3)"
82,There are 141 pots. Each pot has 71 flowers and 91 sticks in it.How many flowers are there in all?,"var1 = find(flowers in a pot), var2 = multiply(var1, 141), CALL, return(var2)"
1509,John has twelve shirts. Later he bought four more shirts. How many shirts does John have total?,"var1 = find(starting shirts), var2 = find(new shirts), var1 = add(var1, var2), CALL, return(var1)"
1262,"One day, Trent and his friends had lunch while sitting at tables of 2. Another day, they had lunch at tables of 8. What is the smallest number of people that could be in the group?","var1 = find(""tables of 2""), var2 = find(""tables of 8""), var3 = find_lcm(var1, var2), return(var3)"
1920,Vincent has learned the words to 56 songs. He learned 18 more songs at summer camp. How many songs does Vincent know now?,"var1 = find(initial songs), var2 = add(var1, 18), return(var2)"
2390,"To make sure that the cake is sweet, he needs 450 lbs. of sugar. If he has 287 lbs. of sugar stored in his house, how much additional sugar will he need?","var1 = find(total sugar needed), var2 = find(current sugar), var1 = subtract(var1, var2), CALL, return(var1)"
1518,"There are 315 cups of puddings to be distributed to 218 students. If each of them wants an equal number of pudding cups, at least how many more pudding cups are needed?","var1 = find(puddings), var2 = find(students), var3 = divide(var1, var2), CALL, var3 = round_down(var3), CALL, var4 = multiply(var2, var3), CALL, var5 = subtract(var1, var4), CALL, var6 = subtract(var2, var5), CALL, return(var6)"
1371,Adam needed to climb ninety-six stair steps to reach the rooftop. He already climbed seventy-four. How many stair steps do left for Adam to climb now?,"var1 = find(total stair steps), var2 = find(climbed stair steps), var3 = subtract(var1, var2), CALL, return(var3)"
2015,Each bag contains 23 pounds of oranges. How many pounds of oranges are in 45 bags?,"var1 = find(pounds in each bag), var2 = find(total number of bags), var3 = multiply(var1, var2), CALL, return(var3)"
2285,"The capacity of a tank is 32 gallons. If a company bought 728 gallons of oil, how many tanks are needed to hold all the oil?","var1 = find(gallons of oil), var2 = find(gallons per tank), var3 = divide(var1, var2), CALL, var3 = round_up(var3), CALL, return(var3)"
2368,"Last Saturday, Marie sold 425 magazines and 275 newspapers. What is the total number of reading materials she sold?","var1 = find(sold magazines), var2 = find(sold newspapers), var3 = add(var1, var2), CALL, return(var3)"
1418,"Henry was playing tic-tac-toe. He won 2 times, lost 2 times and it was a draw 10 times. How many times did Henry play? ","var1 = find(Henry wins), var2 = find(Henry losses), var3 = find(draws), var4 = add(var1, var2), CALL, var5 = add(var4, var3), CALL, return(var5)"
1834,Charlene made 60 bead necklaces. She sold 16 at a craft fair. She gave 18 to her friends. How many necklaces did Charlene have then?,"var1 = find(necklaces made), var2 = subtract(var1, 16), CALL, var3 = subtract(var2, 18), CALL, return(var3)"
571,Mary is baking a cake. The recipe calls for 9 cups of sugar 14 cups of flour and 40 cups of salt. She already put in 4 cups of flour.How many more cups of flour than cups of sugar does she need to add now?,"var1 = find(calls for sugar cups), var2 = find(calls for flour cups), var3 = find(flour cups put in), var4 = subtract(var2, var3), var5 = subtract(var4, var1), CALL, return(var5)"
678,Jesse has 18 square feet of carpet. If her room is 4 feet long and 20 feet wideHow much more carpet does she need to cover the whole floor?,"var1 = find(Room length), var2 = find(Room width), var3 = mul(var1, var2), CALL, var4 = find(Carpet Jesse has), var3 = sub(var3, var4), CALL, return(var3)"
1873,Jake has 36 comic books. His brother has 15 more comic books than Jake. How many comic books do they have altogether?,"var1 = find(Jake comic books), var2 = add(var1, 15), var3 = add(var1, var2), return(var3)"
309,There are 3941 skittles in Steven's skittles collection. Steven also has 4950 erasers. If the erasers are organized into 495 groupsHow big is each group?,"var1 = find(skittles), var2 = find(erasers), var3 = divide(var2, 495), CALL, return(var3)"
1535,"For the final touches, John wanted to paint the house using the 3 primary colors. If he has 5 liters of paint for each color, how many liters of paint does he have in all?","var1 = find(number of colors), var2 = find(liters of paint for each color), var1 = multiply(var1, var2), CALL, return(var1)"
24,There were 15 roses and 62 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 17 roses and 96 orchids in the vase.How many roses did she cut?,"var1 = find(roses), var2 = find(orchids), var3 = add(var1, var2), CALL, var4 = find(roses now), var5 = find(orchids now), var6 = add(var4, var5), CALL, var7 = subtract(var6, var3), CALL, var8 = subtract(var4, var1), CALL, return(var8)"
2377,Greg and Brad started reading their books at the same time. Greg read 18 pages a day. Brad read 26 pages a day. How many more pages did Brad read than Greg?,"var1 = find(Greg's pages), var2 = find(Brad's pages), var3 = subtract(var2, var1), return(var3)"
415,"Every day Ryan spends 6 hours on learning english 7 hours on learning chinese and 3 hours on learning spanish.How many hours does he spend on learning english, chinese and spanish in all?","var1 = find(hours spent on learning english), var2 = find(hours spent on learning chinese), var3 = add(var1, var2), var4 = find(hours spent on learning spanish), var5 = add(var3, var4), CALL, return(var5)"
1890,"HappyLand has twice the land area of Super Fun-tastic Land. If Super Fun-tastic Land has a land area of 4897 square feet, what would be the total land area of HappyLand?","var1 = find(SFL land area), var2 = find(land area multiplier), var1 = multiply(var1, var2), CALL, return(var1)"
141,Jack received 6 emails in the morning and 2 emails in the afternoon.How many more emails did Jack receive in the morning than in the afternoon?,"var1 = find(morning emails), var2 = subtract(var1, 2), CALL, return(var2)"
496,3 birds and 2 storks were sitting on the fence. 5 more birds came to join them.How many birds and storks are sitting on the fence?,"var1 = find(birds on the fence), var2 = find(storks on the fence), var3 = add(var1, var2), var4 = find(additional birds), var5 = add(var1, var4), var6 = add(var5, var2), CALL, return(var6)"
619,There were 12 people on the bus. At the next stop 4 more people got on the bus. Each bus can not have more than 36 people.How many people are there on the bus now?,"var1 = find(people on the bus), var2 = find(additional people), var3 = add(var1, var2), var4 = find(maximum people the bus can carry), if (var3 > var4), return(var4), else, return(var3)"
1763,"Shiela has 6 neighbors who like to collect animal drawings. Shiela has a talent for drawing and so she drew 54 animals on small pieces of paper. If she plans to give the same number of animal drawings to her neighbors, how many will each of them receive?","var1 = find(animal drawings), var2 = find(neighbors), var1 = divide(var1, var2), CALL, return(var1)"
669,Paco had 9 sweet cookies and 6 salty cookies. He ate 36 sweet cookies and 3 salty cookies.How many salty cookies did Paco have left?,"var1 = find(Sweet cookies), var2 = find(Salty cookies), var3 = find(Eaten sweet cookies), var4 = find(Eaten salty cookies), var1 = sub(var1, var3), CALL, var2 = sub(var2, var4), CALL, return(var2)"
602,Adam has 4 more apples than Jackie. Together Adam and Jackie have 14 apples. Bob has 6 apples more than Adam and Jackie together do.How many apples does Bob have?,"var1 = find(apples Adam has), var2 = find(apples Jackie has), var3 = add(var1, var2), var4 = find(apples Adam and Jackie have together), var5 = subtract(var3, var4), var6 = find(apples Bob has), var7 = add(var4, var6), CALL, return(var7)"
2386,"While heating the wings, Charlie decided to make metal supports for the wings. If he needs 635 lbs of metal and he has 276 lbs in storage, how much additional metal does he need to buy?","var1 = find(total metal needed), var2 = find(current metal), var1 = subtract(var1, var2), CALL, return(var1)"
1377,Ned mowed his lawn six times in the spring and five times in the summer. How many times did he mow total?,"var1 = find(spring mows), var2 = find(summer mows), var3 = add(var1, var2), CALL, return(var3)"
321,Jack received 6 emails and sent 91 letters in the morning. He then received 2 emails and sent 74 letters in the afternoon.How many emails did Jack receive in the day?,"var1 = find(morning emails), var2 = find(afternoon emails), var3 = add(var1, var2), CALL, return(var3)"
1221,An architect was building his two story house. On the first floor the house had 6 bedrooms and the second floor had 4 bedrooms. How many bedrooms does the house have totaled?,"var1 = find(first floor bedrooms), var2 = find(second floor bedrooms), var3 = add(var1, var2), CALL, return(var3)"
